title,description,category,resolution,priority
Data exfiltration alert from DLP system,DLP system detected cloud upload of 1014 sensitive records by anil.garcia@company.com. Data classification: customer data. Destination: personal email.,Security,"1. Immediately revoke the user's access to sensitive systems.
2. Interview the user and their manager to determine intent.
3. Assess the scope of data potentially exfiltrated.
4. Engage legal/compliance team for incident documentation.
5. Implement additional DLP rules to prevent recurrence.
6. File a data breach notification if required by regulations.",Critical
SQL Server replication lag at 1539 seconds,Read replica of Cassandra on staging-auth-30 has a replication lag of 3451 seconds. Order Management reads from the replica are returning stale data. This is affecting dashboard analytics. Environment: sandbox.,Database,"1. Check replica status and identify the bottleneck.
2. Review write throughput on the primary — check for bulk operations.
3. Ensure the replica has sufficient IOPS and network bandwidth.
4. Temporarily direct reads to the primary if lag is critical.
5. Consider adding more replicas or upgrading instance size.
6. Set up replication lag monitoring with 60s threshold alerts.",Medium
Reporting Engine login page broken after update,"Users cannot log into SSO Portal after the latest release. Login form submits but returns a blank page or SEGFAULT. Affecting all users on Chrome 119, Windows 10. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
Azure EC2/VM instance unreachable,Instance qa-app-28 in AWS us-east-1 is not responding to SSH or health checks. The Order Management hosted on it is down. Started 15 minutes ago.,Infrastructure,"1. Check GCP console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
Malware detected on endpoint qa-proxy-11,Endpoint protection (Carbon Black) flagged a spyware on prod-cache-23 used by raj.kumar@company.com. File: invoice.pdf.exe. Status: active.,Security,"1. Immediately isolate the affected machine from the network.
2. Run a full system scan with the endpoint protection tool.
3. Check if the malware has spread to other machines on the network.
4. Reset all credentials used on the affected machine.
5. Reimage the machine if the infection is severe.
6. Submit the malware sample to the threat intelligence team.",Critical
Docker container crash loop on staging-web-26,Docker container for Order Management is in a crash loop (CrashLoopBackOff) on uat-web-2. Logs show: Error 504. Environment: QA. Restarted 13 times in the last hour.,Infrastructure,"1. Inspect container logs: `docker logs <container_id>`.
2. Check resource limits (memory/CPU) — container may be OOM killed.
3. Verify environment variables and config mounts.
4. Roll back to the previous known-good image.
5. Fix the root cause in application code and redeploy.",Critical
Service account key rotation overdue for Azure,"14 service account keys in Azure have not been rotated in 199 days, violating the 90-day rotation policy. Accounts used by: CI/CD Pipeline, ArgoCD. Compliance audit flagged this as a finding.",Security,"1. Generate new keys for each service account.
2. Update the keys in all dependent services, CI/CD pipelines, and secret managers.
3. Revoke the old keys after confirming new keys work.
4. Implement automated key rotation via AWS Secrets Manager.
5. Set up alerts for key age exceeding policy threshold.",High
Kubernetes pod scheduling failures in UAT,Multiple pods for Ticket System are stuck in Pending state in the sandbox cluster. kubectl describe shows insufficient CPU/memory. The Compliance team cannot deploy.,Infrastructure,"1. Check node resource utilization: `kubectl top nodes`.
2. Identify resource-hungry pods: `kubectl top pods --all-namespaces`.
3. Scale up worker node group or add new nodes.
4. Review and optimize resource requests/limits for pods.
5. Consider enabling cluster autoscaler.",High
Password reset request for CRM account,neha.patel@company.com from DevOps requesting password reset for their VPN account. Reason: password expired. Identity verified via phone call.,Access Management,"1. Verify user identity through approved verification method.
2. Reset password to a temporary value meeting complexity requirements.
3. Set ""must change at next login"" flag.
4. Communicate temporary password via secure channel.
5. Confirm user can log in successfully.
6. If compromised warning: review login history and enable MFA.",Low
Employee offboarding — revoke access for priya.singh@company.com,alex.gupta@company.com from DevOps has resigned. All access must be revoked immediately per security policy. Manager confirmed. Last working day: end of week.,Access Management,"1. Disable Active Directory account immediately.
2. Revoke all SSO sessions and OAuth tokens.
3. Remove from all application access groups.
4. Disable Azure IAM access and rotate shared credentials they had access to.
5. Transfer ownership of shared documents and resources.
6. Archive mailbox per retention policy.
7. Document revocation for compliance audit trail.",High
qa-web-14 disk space critical,Server uat-log-22 in pre-prod environment is at 91% disk usage. Helm builds are failing due to insufficient space. Affecting the SRE team. OS: RHEL 9.,Infrastructure,"1. SSH into the server and identify large files with `du -sh /var/*`.
2. Prune old Docker images: `docker system prune -af`.
3. Clear old build artifacts and logs older than 30 days.
4. Expand EBS/disk volume by 38GB.
5. Set up disk space monitoring alert at 80% threshold.",High
SQL Server replication lag at 1214 seconds,Read replica of MongoDB on qa-cache-14 has a replication lag of 1099 seconds. Invoice System reads from the replica are returning stale data. This is affecting dashboard analytics. Environment: production.,Database,"1. Check replica status and identify the bottleneck.
2. Review write throughput on the primary — check for bulk operations.
3. Ensure the replica has sufficient IOPS and network bandwidth.
4. Temporarily direct reads to the primary if lag is critical.
5. Consider adding more replicas or upgrading instance size.
6. Set up replication lag monitoring with 60s threshold alerts.",Medium
DynamoDB storage reaching capacity on dev-monitor-4,"Oracle data directory on qa-web-6 is at 87% capacity (228GB / 449GB). If it fills up, the database will go read-only or crash. CRM Portal and Data will be affected. Growth rate: 3GB/day.",Database,"1. Identify the largest tables and indexes consuming space.
2. Run VACUUM/OPTIMIZE to reclaim dead tuple space.
3. Archive or delete data older than the retention policy.
4. Expand disk/EBS volume size.
5. Implement table partitioning for time-series data.
6. Set up storage alerts at 80% and 90% thresholds.",High
HR Dashboard sending duplicate webhooks,Chat Service is sending duplicate emails to users. Some users received 10 copies of the same email. Issue started after the last deployment.,Application,"1. Check message queue for duplicate entries.
2. Verify idempotency keys are being used for message dispatch.
3. Check if multiple instances of the worker are processing the same queue.
4. Add deduplication logic using message IDs.
5. Clear the affected queue and reprocess.",High
Unauthorized access to GCP console detected,CloudTrail/Activity Log shows unauthorized API calls from an unrecognized IP 60.56.195.193 using IAM user devops-bot. Actions include: ListBuckets. Credentials may be compromised.,Security,"1. Immediately rotate/deactivate the compromised IAM credentials.
2. Review CloudTrail logs for all actions taken by the compromised user.
3. Revert any unauthorized changes (new users, policies, resources).
4. Enable MFA on all IAM accounts if not already enabled.
5. Implement IP-based access restrictions for console access.
6. Conduct a full IAM access review.",Critical
API response times degraded for CI/CD Pipeline,Average API response time for Notification Hub has increased from 155ms to 8s. Users reporting slow page loads. Infrastructure dashboard shows timeout spikes. Started 3 hours ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",High
Document Manager login page broken after update,"Users cannot log into CRM Portal after the latest release. Login form submits but returns a blank page or ConnectionPoolExhausted. Affecting all users on Chrome 119, Ubuntu 24.04. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
New employee access provisioning for Identity,"New employee joining Network needs access to: Monitoring Dashboard, Slack, Office 365, Active Directory, Jira, VPN. Start date: today. Manager has approved.",Access Management,"1. Create Active Directory account with standard group memberships.
2. Assign Office 365 license and create mailbox.
3. Add to relevant Slack channels and GitHub teams.
4. Provision access to requested applications per team role template.
5. Set up VPN profile and send credentials.
6. Send welcome email with access details and onboarding guide.",Medium
BGP peering session down with ISP,BGP peering session with primary ISP is down for 2 hours. Prefix advertisements withdrawn. Traffic failover to secondary ISP is not working. External-facing services including Document Manager may be affected.,Network,"1. Check router BGP neighbor status and logs.
2. Verify physical layer — check for fiber/port issues.
3. Contact the ISP NOC with BGP session details.
4. If hardware issue, move to backup port/router.
5. Verify failover routing is working correctly.
6. After restoration, verify all prefixes are being advertised.",Critical
Database migration failed for CRM Portal,Schema migration for Payment Gateway on DynamoDB (production) failed mid-way. Migration modified constraints. The database is now in an inconsistent state. Rollback was not attempted.,Database,"1. Assess current schema state vs expected state.
2. If possible, manually complete or roll back the failed migration.
3. Fix the migration script for idempotency.
4. Restore from the pre-migration backup if state is unrecoverable.
5. Re-run the migration in a staging environment first.
6. Implement migration dry-run and backup as pre-deployment steps.",Critical
API key generation request for Chat Service,ananya.brown@company.com from Identity needs API keys for SSO Portal in UAT environment. Purpose: third-party integration. Needs read-write access scope.,Access Management,"1. Verify the request and business justification.
2. Generate API key with the minimum required scope.
3. Store the key in Vault.
4. Set key expiration per security policy (max 90 days).
5. Document the API key and its purpose in the access log.
6. Share the key securely (never via email or chat).",Low
Shared service account password rotation for Analytics Dashboard,"Shared service account used by Customer Portal across Infrastructure needs password rotation. Current password has been in use for 215 days, violating 77-day rotation policy. 9 team members know the current password.",Access Management,"1. Generate a new strong password meeting policy requirements.
2. Update the password in the identity provider.
3. Update all services/scripts using this credential.
4. Store new password in shared password manager (Vault/1Password).
5. Revoke knowledge of old password from team members.
6. Consider replacing shared accounts with per-user service accounts.
7. Implement automated rotation via secret management tool.",High
MongoDB user permissions misconfigured for Database,Compliance members have accidental DROP permissions in MySQL for the pre-prod environment. Discovered during audit.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",Medium
SSL certificate expiring on dev-proxy-29,SSL certificate for Customer Portal on uat-worker-26 expires in 4 days. Browser showing security warnings. Domain: portal.company.com.,Infrastructure,"1. Generate a new CSR or use Let's Encrypt for auto-renewal.
2. Install the renewed certificate on the web server.
3. Verify certificate chain is complete.
4. Restart the web server/load balancer.
5. Set up automated certificate renewal and expiry monitoring.",Critical
SSL certificate expiring on prod-cache-12,SSL certificate for Payment Gateway on qa-proxy-11 expires in 2 days. Browser showing security warnings. Domain: dashboard.company.com.,Infrastructure,"1. Generate a new CSR or use Let's Encrypt for auto-renewal.
2. Install the renewed certificate on the web server.
3. Verify certificate chain is complete.
4. Restart the web server/load balancer.
5. Set up automated certificate renewal and expiry monitoring.",Critical
Account locked out for sneha.gupta@company.com,"User kumar.smith@company.com from Compliance is locked out of their Active Directory account after 7 failed password attempts. Unable to access any company systems including Customer Portal, email, and VPN. User is working remotely.",Access Management,"1. Verify user identity through secondary authentication (phone/Slack).
2. Unlock the AD account via Active Directory Users and Computers.
3. Reset the password to a temporary value.
4. Ensure user changes password at next login.
5. Check login logs for suspicious activity from other IPs.
6. If legitimate lockout, educate user on password manager usage.",High
Payment Gateway login page broken after update,"Users cannot log into Document Manager after the latest release. Login form submits but returns a blank page or ORA-01017. Affecting all users on Chrome 120, macOS Sonoma. SSO redirect flow is broken.",Application,"1. Check frontend console errors in the browser.
2. Verify SSO/OAuth callback URLs are correctly configured.
3. Check if the auth service/identity provider is reachable.
4. Review recent code changes to the login flow.
5. Roll back the frontend build if needed and redeploy.",Critical
Redis CPU at 96% utilization,MongoDB instance qa-auth-4 has been at 98% IOPS utilization for 15 minutes. Query queue is building up. Monitoring Dashboard response times severely degraded. Environment: UAT.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",Critical
NTP clock drift detected on prod-worker-15,Clock drift of 110 seconds detected on prod-app-14 running RHEL 9. This is causing authentication failures and log timestamp mismatches for Deployment Manager.,Infrastructure,"1. Check current time offset: `timedatectl status`.
2. Force NTP sync: `ntpdate -u pool.ntp.org` or `chronyc makestep`.
3. Verify NTP service is running and configured correctly.
4. Add NTP monitoring to the alerting infrastructure.
5. Check if firewall is blocking NTP (UDP 123).",High
Suspicious login attempts detected for priya.williams@company.com,Security alert: 133 failed login attempts detected for account david.taylor@company.com from IP 158.202.112.52 (Russia). Account may be under brute-force attack. Current status: still active.,Security,"1. Temporarily lock the affected user account.
2. Block the source IP at the WAF/firewall level.
3. Reset the user's password and require MFA reenrollment.
4. Review login audit logs for any successful unauthorized access.
5. Notify the user and their manager about the incident.
6. Add the IP range to the threat intelligence blocklist.",Critical
Malware detected on endpoint prod-monitor-9,Endpoint protection (Sophos) flagged a rootkit on dev-web-19 used by sneha.garcia@company.com. File: svchost_helper.dll. Status: quarantined.,Security,"1. Immediately isolate the affected machine from the network.
2. Run a full system scan with the endpoint protection tool.
3. Check if the malware has spread to other machines on the network.
4. Reset all credentials used on the affected machine.
5. Reimage the machine if the infection is severe.
6. Submit the malware sample to the threat intelligence team.",Critical
Slow query degrading Redis performance,"A slow query on SQL Server (dev-api-11) is running for 145 seconds, causing table locks and degrading HR Dashboard performance. Query involves unoptimized aggregation. Affecting 49 concurrent users.",Database,"1. Identify the slow query from the slow query log.
2. Run EXPLAIN ANALYZE to diagnose the execution plan.
3. Add appropriate indexes based on the query pattern.
4. Optimize the query (add WHERE filters, limit results, fix JOINs).
5. Consider query caching for frequently executed queries.
6. Set up slow query alerting with 21s threshold.",High
API Gateway memory leak causing OOM crashes,"HR Dashboard on prod-log-6 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 465MB to 3GB within 9 hours. Environment: DR.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",Critical
Load balancer health check failures for Inventory Manager,"nginx load balancer reporting 7 out of 12 backend targets as unhealthy for SSO Portal. Health check path: /ping. Traffic being sent to fewer instances, causing overload.",Network,"1. Check health check endpoint on failing instances — curl manually.
2. Verify security groups allow health check traffic from the load balancer.
3. Check if application is listening on the expected port.
4. Review application health check logic — it may be failing on DB/dependency checks.
5. Restart unhealthy instances and monitor.
6. Increase health check timeout/threshold to avoid flapping.",High
New employee access provisioning for Frontend,"New employee joining Frontend needs access to: VPN, AWS Console, Slack, CI/CD Pipeline, Office 365. Start date: today. Manager has approved.",Access Management,"1. Create Active Directory account with standard group memberships.
2. Assign Office 365 license and create mailbox.
3. Add to relevant Slack channels and GitHub teams.
4. Provision access to requested applications per team role template.
5. Set up VPN profile and send credentials.
6. Send welcome email with access details and onboarding guide.",Low
API response times degraded for Payment Gateway,Average API response time for Analytics Dashboard has increased from 127ms to 9s. Users reporting slow page loads. Frontend dashboard shows timeout spikes. Started 5 minutes ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",High
Database migration failed for Notification Hub,Schema migration for Admin Console on Redis (pre-prod) failed mid-way. Migration modified constraints. The database is now in an inconsistent state. Rollback was attempted but failed.,Database,"1. Assess current schema state vs expected state.
2. If possible, manually complete or roll back the failed migration.
3. Fix the migration script for idempotency.
4. Restore from the pre-migration backup if state is unrecoverable.
5. Re-run the migration in a staging environment first.
6. Implement migration dry-run and backup as pre-deployment steps.",High
Monitoring alerts flooding from QA cluster,Receiving 460 alerts per hour from GitLab CI for the sandbox environment. Alert fatigue is causing the Infrastructure team to miss real issues. Most alerts are for disk I/O.,Infrastructure,"1. Review and categorize current alert rules.
2. Increase alert thresholds for non-critical metrics.
3. Add alert grouping and deduplication rules.
4. Implement alert silencing for known maintenance windows.
5. Create tiered alerting: P1 pages, P2 Slack, P3 dashboard only.",Low
DNS resolution failures for internal services,Internal DNS resolution failing intermittently. *.svc.cluster.local not resolving. Affecting 9 services including Customer Portal. DNS server: 41.52.229.210. Started since this morning ago.,Network,"1. Check DNS server health and query logs.
2. Verify DNS zone configurations and SOA records.
3. Flush DNS cache on affected clients: `ipconfig /flushdns` or equivalent.
4. Check if DNS server is overwhelmed — add secondary DNS.
5. Verify network ACLs are not blocking DNS (UDP/TCP 53).
6. Test resolution with `nslookup` and `dig` for debugging.",High
Shared service account password rotation for Payment Gateway,"Shared service account used by CI/CD Pipeline across Network needs password rotation. Current password has been in use for 257 days, violating 90-day rotation policy. 8 team members know the current password.",Access Management,"1. Generate a new strong password meeting policy requirements.
2. Update the password in the identity provider.
3. Update all services/scripts using this credential.
4. Store new password in shared password manager (Vault/1Password).
5. Revoke knowledge of old password from team members.
6. Consider replacing shared accounts with per-user service accounts.
7. Implement automated rotation via secret management tool.",High
Shared service account password rotation for Notification Hub,"Shared service account used by Document Manager across Security needs password rotation. Current password has been in use for 300 days, violating 66-day rotation policy. 8 team members know the current password.",Access Management,"1. Generate a new strong password meeting policy requirements.
2. Update the password in the identity provider.
3. Update all services/scripts using this credential.
4. Store new password in shared password manager (Vault/1Password).
5. Revoke knowledge of old password from team members.
6. Consider replacing shared accounts with per-user service accounts.
7. Implement automated rotation via secret management tool.",High
CI/CD Pipeline memory leak causing OOM crashes,"Monitoring Dashboard on staging-db-20 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 328MB to 4GB within 7 hours. Environment: QA.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",Critical
Suspicious login attempts detected for pooja.brown@company.com,Security alert: 189 failed login attempts detected for account kumar.harris@company.com from IP 152.209.190.207 (Brazil). Account may be under brute-force attack. Current status: MFA blocked.,Security,"1. Temporarily lock the affected user account.
2. Block the source IP at the WAF/firewall level.
3. Reset the user's password and require MFA reenrollment.
4. Review login audit logs for any successful unauthorized access.
5. Notify the user and their manager about the incident.
6. Add the IP range to the threat intelligence blocklist.",Critical
Inventory Manager deployment failed in QA,Latest deployment of Deployment Manager to DR has failed. Build passed but rollout shows errors. Error: EPERM. Compliance team is blocked from releasing. Previous version still running.,Application,"1. Roll back to the previous stable version immediately.
2. Check deployment logs for the specific failure point.
3. Verify environment variables and secrets are correctly set.
4. Run smoke tests against the rolled-back version.
5. Fix the deployment issue and re-deploy through CI/CD pipeline.",High
New employee access provisioning for SRE,"New employee joining Identity needs access to: CRM, Active Directory, Office 365, AWS Console, Slack. Start date: Monday. Manager has approved.",Access Management,"1. Create Active Directory account with standard group memberships.
2. Assign Office 365 license and create mailbox.
3. Add to relevant Slack channels and GitHub teams.
4. Provision access to requested applications per team role template.
5. Set up VPN profile and send credentials.
6. Send welcome email with access details and onboarding guide.",Medium
AWS EC2/VM instance unreachable,Instance staging-app-4 in GCP eu-central-1 is not responding to SSH or health checks. The Customer Portal hosted on it is down. Started 2 hours ago.,Infrastructure,"1. Check AWS console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
SSL certificate expiring on uat-cache-16,SSL certificate for Monitoring Dashboard on dev-api-20 expires in 6 days. Browser showing security warnings. Domain: dashboard.company.com.,Infrastructure,"1. Generate a new CSR or use Let's Encrypt for auto-renewal.
2. Install the renewed certificate on the web server.
3. Verify certificate chain is complete.
4. Restart the web server/load balancer.
5. Set up automated certificate renewal and expiry monitoring.",Critical
Monitoring Dashboard search functionality returning no results,Search in Chat Service returns empty results for all queries. OpenSearch index appears to be out of sync. Reported by 40 users from Security.,Application,"1. Check search engine cluster health and index status.
2. Verify the data sync pipeline between the primary database and search index.
3. Rebuild the search index from the source database.
4. Verify search query parsing and filtering logic.
5. Monitor indexing lag to prevent future occurrences.",Medium
Azure service quota exceeded in eastus,Hitting service quota limits for S3 buckets in Azure us-west-2. Cannot provision new resources for Database.,Infrastructure,"1. Review current quota usage in AWS console.
2. Submit a service quota increase request.
3. Clean up unused/orphaned resources.
4. Consider using a different region for non-critical workloads.
5. Implement resource tagging and lifecycle policies.",Medium
Elasticsearch connection pool exhausted on prod-auth-23,MongoDB on dev-proxy-6 has exhausted its connection pool (122/86 connections active). Notification Hub is returning connection timeout errors. Environment: production. Started 15 minutes ago.,Database,"1. Identify connections holding open transactions: check `pg_stat_activity` or equivalent.
2. Terminate idle-in-transaction connections older than 5 minutes.
3. Increase the connection pool size if usage is legitimately high.
4. Review application code for connection leaks (unclosed connections).
5. Implement connection pooling middleware (PgBouncer/ProxySQL).",Critical
CRM Portal memory leak causing OOM crashes,"CI/CD Pipeline on dev-monitor-7 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 301MB to 8GB within 12 hours. Environment: development.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",High
NTP clock drift detected on uat-app-4,Clock drift of 86 seconds detected on dev-api-1 running macOS Sonoma. This is causing authentication failures and log timestamp mismatches for Invoice System.,Infrastructure,"1. Check current time offset: `timedatectl status`.
2. Force NTP sync: `ntpdate -u pool.ntp.org` or `chronyc makestep`.
3. Verify NTP service is running and configured correctly.
4. Add NTP monitoring to the alerting infrastructure.
5. Check if firewall is blocking NTP (UDP 123).",Medium
AWS service quota exceeded in ap-south-1,Hitting service quota limits for EBS volumes in Azure us-east-1. Cannot provision new resources for Frontend.,Infrastructure,"1. Review current quota usage in Azure console.
2. Submit a service quota increase request.
3. Clean up unused/orphaned resources.
4. Consider using a different region for non-critical workloads.
5. Implement resource tagging and lifecycle policies.",High
ArgoCD build failures on dev-web-29,ArgoCD pipeline has been failing for the last 10 minutes on prod-app-30. Error: ORA-12541. All deployments to QA are blocked. Team ML is affected.,Infrastructure,"1. Check Grafana system logs for root cause.
2. Restart the build agent/runner service.
3. Verify network connectivity to artifact repositories.
4. Clear workspace cache and retry the build.
5. If persistent, provision a new build agent.",Critical
Kubernetes pod scheduling failures in QA,Multiple pods for Order Management are stuck in Pending state in the development cluster. kubectl describe shows insufficient CPU/memory. The Frontend team cannot deploy.,Infrastructure,"1. Check node resource utilization: `kubectl top nodes`.
2. Identify resource-hungry pods: `kubectl top pods --all-namespaces`.
3. Scale up worker node group or add new nodes.
4. Review and optimize resource requests/limits for pods.
5. Consider enabling cluster autoscaler.",High
PostgreSQL user permissions misconfigured for Backend,Network members have no access to required tables in Oracle for the UAT environment. Discovered during audit.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",Medium
Mobile app crashing on iOS for Invoice System,The mobile app for CRM Portal is crashing immediately on launch for iOS 18 users. Crash reports show FATAL ERROR. Approximately 153 crash reports in the last 22 hours.,Application,"1. Pull crash reports from Crashlytics/Sentry.
2. Identify the crashing stack trace and affected code path.
3. Release a hotfix build with the crash protection.
4. If API-related, add backward compatibility on the server side.
5. Push the fixed build to App Store/Play Store as an expedited review.",High
Permission request for GCP resources,john.davis@company.com from ML requesting read-only access to GCP EC2 instances in staging environment. Business justification: debugging production issue.,Access Management,"1. Verify the request and manager approval.
2. Create/identify an appropriate IAM role or group.
3. Grant scoped access following least-privilege principle.
4. Set an access expiration date if this is temporary access.
5. Document the access grant in the access management log.
6. Notify the user that access has been provisioned.",Medium
Redis backup job failed for QA,Nightly PostgreSQL backup for pre-prod environment failed at snapshot stage. Error: disk space insufficient. Last successful backup was 3 days ago.,Database,"1. Check backup job logs for the specific error.
2. Verify backup storage has sufficient space.
3. Ensure backup service account has correct permissions.
4. Run a manual backup immediately to restore the backup chain.
5. Verify backup integrity with a test restore.
6. Set up backup failure alerts to catch issues within 24 hours.",High
Oracle user permissions misconfigured for Cloud,Cloud members have excessive read/write access in MongoDB for the UAT environment. Discovered during access review.,Database,"1. Review current grants for the affected database role.
2. Revoke excessive permissions immediately.
3. Grant only the minimum required permissions (principle of least privilege).
4. Create application-specific roles with scoped access.
5. Document the permission model and add to onboarding checklist.
6. Schedule quarterly access reviews.",High
AWS EC2/VM instance unreachable,Instance uat-proxy-27 in Azure us-central1 is not responding to SSH or health checks. The Ticket System hosted on it is down. Started 5 minutes ago.,Infrastructure,"1. Check AWS console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
Kubernetes pod scheduling failures in pre-prod,Multiple pods for Document Manager are stuck in Pending state in the UAT cluster. kubectl describe shows insufficient CPU/memory. The QA team cannot deploy.,Infrastructure,"1. Check node resource utilization: `kubectl top nodes`.
2. Identify resource-hungry pods: `kubectl top pods --all-namespaces`.
3. Scale up worker node group or add new nodes.
4. Review and optimize resource requests/limits for pods.
5. Consider enabling cluster autoscaler.",Medium
Employee offboarding — revoke access for alex.miller@company.com,anil.gupta@company.com from Platform Engineering has transferred to another department. All access must be revoked immediately per security policy. Manager confirmed. Last working day: yesterday.,Access Management,"1. Disable Active Directory account immediately.
2. Revoke all SSO sessions and OAuth tokens.
3. Remove from all application access groups.
4. Disable Azure IAM access and rotate shared credentials they had access to.
5. Transfer ownership of shared documents and resources.
6. Archive mailbox per retention policy.
7. Document revocation for compliance audit trail.",High
CDN cache invalidation not propagating for Deployment Manager,"After deploying updated static assets for Chat Service, CDN (CloudFront) is still serving stale content. Cache invalidation was triggered but has not propagated globally. Users in APAC still seeing old version.",Network,"1. Verify invalidation request was submitted successfully.
2. Check invalidation status in CDN dashboard.
3. Force a wildcard invalidation if targeted invalidation isn't working.
4. Add cache-busting query parameters to asset URLs as a workaround.
5. Review cache TTL settings — reduce for frequently updated assets.
6. Implement versioned filenames for static assets.",Medium
MySQL IOPS at 96% utilization,DynamoDB instance dev-worker-16 has been at 99% memory utilization for intermittently for 2 days. Query queue is building up. Inventory Manager response times severely degraded. Environment: UAT.,Database,"1. Identify the resource-consuming queries/processes.
2. Kill any runaway queries that are not critical.
3. Vertically scale the instance (upgrade CPU/memory).
4. Optimize the top 5 most expensive queries.
5. Implement query timeout settings.
6. Set up proactive alerting at 80% utilization threshold.",Critical
AWS EC2/VM instance unreachable,Instance prod-db-29 in AWS us-west-2 is not responding to SSH or health checks. The API Gateway hosted on it is down. Started 10 minutes ago.,Infrastructure,"1. Check AWS console for instance status checks.
2. Review system logs and screenshot from console.
3. If status checks failed, stop and restart the instance.
4. Verify security group and NACL rules.
5. If hardware issue, migrate to a new instance.
6. Update monitoring to catch this earlier.",Critical
Service account key rotation overdue for Azure,"12 service account keys in Azure have not been rotated in 298 days, violating the 70-day rotation policy. Accounts used by: Invoice System, Splunk. Compliance audit flagged this as a finding.",Security,"1. Generate new keys for each service account.
2. Update the keys in all dependent services, CI/CD pipelines, and secret managers.
3. Revoke the old keys after confirming new keys work.
4. Implement automated key rotation via Vault.
5. Set up alerts for key age exceeding policy threshold.",Medium
Privilege escalation detected in QA environment,SIEM alert: user meera.johnson@company.com escalated privileges from viewer to superuser role without authorization in sandbox. IAM policy attachment detected.,Security,"1. Immediately revoke the escalated privileges.
2. Review audit logs to determine how the escalation occurred.
3. Check for any actions performed with elevated access.
4. Patch the privilege escalation vector.
5. Implement alerts for unauthorized role changes.
6. Review IAM policies to prevent similar escalation paths.",Critical
New employee access provisioning for Identity,"New employee joining Backend needs access to: Jira, GitHub, Monitoring Dashboard, HR Portal, Active Directory, Confluence. Start date: tomorrow. Manager has approved.",Access Management,"1. Create Active Directory account with standard group memberships.
2. Assign Office 365 license and create mailbox.
3. Add to relevant Slack channels and GitHub teams.
4. Provision access to requested applications per team role template.
5. Set up VPN profile and send credentials.
6. Send welcome email with access details and onboarding guide.",Low
